date,state,price
2022-01-31,CA,
2022-02-07,CA,
2022-02-14,CA,
2022-02-21,CA,
2022-02-28,CA,
2022-03-07,CA,
2022-03-14,CA,
2022-03-21,CA,
2022-03-28,CA,
2022-04-04,CA,
2022-04-11,CA,
2022-04-18,CA,
2022-04-25,CA,
2022-05-02,CA,
2022-05-09,CA,
2022-05-16,CA,
2022-05-23,CA,
2022-05-30,CA,
2022-06-06,CA,
2022-06-13,CA,
2022-06-20,CA,
2022-06-27,CA,
2022-07-04,CA,
2022-07-11,CA,
2022-07-18,CA,
2022-07-25,CA,
2022-08-01,CA,
2022-08-08,CA,
2022-08-15,CA,
2022-08-22,CA,
2022-08-29,CA,
